id,y_tox,y_sev_tox,y_obs,y_threat,y_insult,y_hate
a6e236f2da3696e3,1,0,0,0,0,0
a6e24b6d7b5f8dda,1,0,0,0,0,0
a6e26cbd1a7d301c,0,0,0,0,0,0
a6e27b27fc2f06dc,1,1,1,0,1,1
a6e2e7e2cc5daed9,0,0,0,0,0,0
a6e31e744cb05b88,1,0,1,0,1,0
a6e35771d574e625,0,0,0,0,0,0
a6e36c086ea97dea,1,1,1,1,1,1
a6e382420b9c4527,0,0,0,0,0,0
a6e39ca8a9ff37de,1,1,1,1,1,1
a6e3f5532bbd974d,0,0,0,0,0,0
a6e4209bae6cbe00,1,0,0,0,0,0
a6e53eeab5702b71,0,0,0,0,0,0
a6e7a5d9d3cb4cce,0,0,0,0,0,0
a6e7c674bfd9aa30,0,0,0,0,0,0
a6e7db2b36d0f1be,0,0,0,0,0,0
a6e7e980778efbca,0,0,0,0,0,0
a6e8fefd1d823647,1,0,1,0,1,0
a6e90eb2ec9c7fe9,0,0,0,0,0,0
a6e97eb479e3428a,1,1,1,1,1,1
a6ea1de6bbadb569,1,0,1,0,1,0
a6ea8bfd165dcf00,0,0,0,0,0,0
a6eba533468b34c5,1,0,1,0,1,0
a6ec6b28614046af,0,0,0,0,0,0
a6ec94fbee8338f1,0,0,0,0,0,0
a6ed9a0b1042fa45,1,1,1,1,1,1
a6ee3e9d0cc68c1a,0,0,0,0,0,0
a6eec4dc389e7aa6,0,0,0,0,0,0
a6ef9608a5145202,1,0,1,0,0,0
a6efb585ca6c62f7,1,0,1,0,1,0
a6f154ca3bfa115d,1,1,1,1,1,1
a6f19128afe1ed52,1,0,0,0,0,0
a6f19841234035ac,0,0,1,0,0,0
a6f24315b3c9ef67,0,0,0,0,0,0
a6f2f87400d839b9,0,0,0,0,0,0
a6f3562252300e02,1,1,1,1,1,1
a6f3d3882ac1eb6d,1,1,1,1,1,1
a6f48a298d74e56a,0,0,0,0,0,0
a6f5cd2056514f4e,1,1,1,1,1,1
a6f6c593513768ae,1,0,1,0,1,0
a6f6d310c0d83c0e,0,0,0,0,0,0
a6f6fb9980232892,1,0,1,0,0,0
a6f72248f5783b07,1,0,1,0,1,1
a6f7be551da9e7aa,1,0,0,0,0,0
a6f93d28003ee730,0,0,0,0,0,0
a6f95987886cb80e,0,0,0,0,0,0
a6f9e48218674832,1,0,1,0,1,1
a6fa78910df685ad,0,0,0,0,0,0
a6fb0a28bd663349,0,0,0,0,0,0
a6fb2740f7297f8e,1,0,0,0,0,0
a6fb5193bf80df81,1,0,0,0,0,0
a6fc198139125461,1,0,0,0,1,0
a6fceae0b0e1bf7f,0,0,0,0,0,0
a6fd1abefd7f5d53,1,0,0,0,0,0
a6fdd04e21c28f96,0,0,0,0,0,0
a6fde5bda22d6c30,0,0,0,0,0,0
a6fe2949dc7a4803,0,0,0,0,0,0
a6fed175e857c61b,0,0,0,0,0,0
a6ff35cbe54d147c,0,0,0,0,0,0
a6ff3a623adc2bd7,1,0,1,0,1,0
a6ff4ae3fab2a092,1,0,1,0,1,0
a6ff6c03555c029a,0,0,0,0,0,0
a700172816c83f54,1,0,1,0,1,0
a70041674a9d5871,0,0,0,0,0,0
a70155738ab5b921,0,0,0,0,0,0
a7022c576031eb45,0,0,0,0,0,0
a703182f1fb0e1aa,0,0,0,0,0,0
a7033e25f60e48cf,0,0,0,0,0,0
a70389723e05f9be,0,0,0,0,0,0
a703a55d28d1f978,0,0,0,0,0,0
a703be84bee881e8,1,0,1,0,1,0
a703fa72bb59756f,0,0,0,0,0,0
a703fb89c36f0726,1,0,1,0,1,1
a7041f6c4585c9c4,0,0,0,0,0,0
a70496b40b949be8,0,0,0,0,0,0
a7058c90a3f4fa93,1,0,1,0,1,0
a706ef4e62885447,0,0,0,0,0,0
a7071e0802fe962e,0,0,0,0,0,0
a707c68feca018d2,0,0,0,0,0,0
a707cae944317286,1,0,0,0,0,0
a707cf4b3cd74c60,1,0,1,0,1,1
a707e4465c4a9d98,0,0,0,0,0,0
a707ea73a87b121e,0,0,0,0,0,0
a7080acd0610fcbb,0,0,0,0,0,0
a7084b721b16373a,0,0,0,0,0,0
a7086477fa495e86,1,0,0,0,0,0
a7087cb1098216d5,0,0,0,0,0,0
a70895866b61239a,1,1,1,1,1,1
a7089a8525fb0214,1,0,1,0,1,0
a709ba53948d9b2a,0,0,0,0,0,0
a709eec7c1deb018,0,0,0,0,0,0
a70a80f8d3c4182a,1,0,0,0,1,0
a70aa2752dbaa6f8,1,1,1,0,1,1
a70ab566d5eec2ac,0,0,0,0,0,0
a70ac9474ae40102,0,0,0,0,0,0
a70ad074c64a187d,1,0,0,0,1,0
a70af9a8c489ab32,1,0,0,0,0,0
a70b0f4e613e3f4d,0,0,0,0,0,0
a70b17011d213c82,1,0,1,0,1,0
a70b625af01b291d,1,0,1,0,0,0
a70ba5d4d1a27bd9,0,0,0,0,0,0
a70be2c47ee12cc9,0,0,0,0,0,0
a70c086964cc668f,1,1,1,1,1,1
a70c44446440e97b,1,0,0,0,0,0
a70c512a7195d6a4,1,0,1,0,1,1
a70c8447eb66a643,1,0,1,0,1,0
a70d0d164fa32e6c,0,0,0,0,0,0
a70d74e8fcc9a22f,1,1,1,1,1,1
a70d9d1745952c50,0,0,0,0,0,0
a70e7ee352823e09,0,0,0,0,0,0
a70ed55b0ecdfb28,0,0,0,0,0,0
a70edf219e945150,0,0,0,0,0,0
a70f4cc402745295,0,0,0,0,0,0
a71026af28512b9c,0,0,0,0,0,0
a7106751d8cb0dd3,0,0,0,0,0,0
a710f5951f6a6643,0,0,0,0,0,0
a710f6137c6b337d,0,0,0,0,0,0
a71112b019a64b54,1,1,1,0,1,1
